vehicle_id,name,br,top_speed_sea_level_kph,top_speed_sea_level_mps,top_speed_sea_level_mph,top_speed_sea_level_knots,source
tornado_ids,Tornado IDS,11.7,1441.0,400.27777777777777,895.395611,778.078037,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 41}"
tornado_gr_1,Tornado GR.1,11.7,1411.0,391.94444444444446,876.7547519120001,761.879327,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 42}"
j_8b,J-8B,11.7,1365.0,379.1666666666667,848.171415,737.0413050000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 43}"
f_5e_fcu,F-5E FCU,11.7,1282.0,356.1111111111111,796.597622,692.224874,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 44}"
av_8b_na,AV-8B NA,11.7,1131.0,314.1666666666667,702.770601,610.691367,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 45}"
su_39,Su-39,11.7,1055.0,293.05555555555554,655.546405,569.654635,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 46}"
a_10c,A-10C,11.7,722.0,200.55555555555554,448.629862,389.848954,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 47}"
ja37c_ajs37,JA37C/AJS37,11.3,1497.0,415.8333333333333,930.192387,808.3156290000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 48}"
mig_23mla,MiG-23MLA,11.3,1470.0,408.3333333333333,913.41537,793.73679,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 49}"
mig_23ml,MiG-23ML,11.3,1470.0,408.3333333333333,913.41537,793.73679,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 50}"
mig_23mld,MiG-23MLD,11.3,1470.0,408.3333333333333,913.41537,793.73679,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 51}"
kfir_c_2,Kfir C.2,11.3,1460.0,405.55555555555554,907.2016600000001,788.33722,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 52}"
phantom_fg_1,Phantom FG.1,11.3,1458.0,405.0,905.959197936,787.2573060000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 53}"
phantom_fgr_2,Phantom FGR.2,11.3,1458.0,405.0,905.959197936,787.2573060000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 54}"
tornado_ids_wtd,Tornado IDS WTD,11.3,1441.0,400.27777777777777,895.395611,778.078037,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 55}"
j_7d,J-7D,11.3,1365.0,379.1666666666667,848.171415,737.0413050000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 56}"
su_24,Su-24,11.3,1358.0,377.22222222222223,843.821818,733.261606,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 57}"
f_5e,F-5E,11.3,1282.0,356.1111111111111,796.597622,692.224874,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 58}"
amx_amx_a_1a,AMX / AMX A-1A,11.3,1154.0,320.55555555555554,717.062134,623.110378,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 59}"
sea_harrier_frs_1,Sea Harrier FRS.1,11.3,1139.0,316.38888888888886,707.741787688,615.011023,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 60}"
aj37_viggen,AJ37 Viggen,11.0,1470.0,408.3333333333333,913.41537,793.73679,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 61}"
kfir_canard,Kfir Canard,11.0,1460.0,405.55555555555554,907.2016600000001,788.33722,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 62}"
su_17_su_22m4,Su-17/Su-22M4,11.0,1417.0,393.6111111111111,880.482707,765.1190690000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 63}"
su_22m3,Su-22M3,11.0,1417.0,393.6111111111111,880.482707,765.1190690000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 64}"
j35xs_draken,J35XS Draken,11.0,1417.0,393.6111111111111,880.482707,765.1190690000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 65}"
mirage_iiie,Mirage IIIE,11.0,1413.0,392.5,877.997223,762.959241,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 66}"
mig_21bis,MiG-21Bis,11.0,1365.0,379.1666666666667,848.171415,737.0413050000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 67}"
j_7e_24_min,J-7E (24 min),11.0,1365.0,379.1666666666667,848.171415,737.0413050000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 68}"
f_104g,F-104G,10.7,1454.0,403.88888888888886,903.473434,785.097478,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 69}"
f_4e_f_30_min,F-4E/F (30 min),10.7,1438.0,399.44444444444446,893.531498,776.458166,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 70}"
su_17m2,Su-17M2,10.7,1417.0,393.6111111111111,880.482707,765.1190690000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 71}"
f_4ej,F-4EJ,10.7,1417.0,393.6111111111111,880.482707,765.1190690000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 72}"
f_4c_w_gunpod_1_1_deg_s_w_o,F-4C (w/ gunpod | + ~1.1 deg/s w/o),10.7,1373.0,381.38888888888886,853.142383,741.360961,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 73}"
mig_21smt,MiG-21SMT,10.7,1365.0,379.1666666666667,848.171415,737.0413050000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 74}"
jaguar_a,Jaguar A,10.7,1265.0,351.38888888888886,786.034315,683.045605,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 75}"
f_5a_f_5c,F-5A/F-5C,10.7,1250.0,347.22222222222223,776.71375,674.9462500000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 76}"
q_5l_30_min,Q-5L (30 min),10.7,1223.0,339.72222222222223,759.936733,660.3674110000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 77}"
a_5c,A-5C,10.7,1223.0,339.72222222222223,759.936733,660.3674110000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 78}"
buccanneer_s_2b_no_bombs,Buccanneer S.2B (no bombs),10.7,1160.0,322.22222222222223,720.79058272,626.3501200000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 79}"
sea_harrier_frs_1,Sea Harrier FRS.1,10.7,1139.0,316.38888888888886,707.741787688,615.011023,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 80}"
a_7k,A-7K,10.7,1117.0,310.27777777777777,694.071407,603.131969,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 81}"
a_6e_tram,A-6E TRAM,10.7,1057.0,293.6111111111111,656.789147,570.734549,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 82}"
su_25k,Su-25K,10.7,1057.0,293.6111111111111,656.789147,570.734549,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 83}"
a_10a,A-10A,10.7,722.0,200.55555555555554,448.629862,389.848954,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 84}"
mig_21mf,MiG-21MF,10.7,0.0,0.0,0.0,0.0,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 85}"
f_111a,F-111A,10.3,1507.0,418.6111111111111,936.406097,813.715199,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 86}"
mirage_iiic_shahak,Mirage IIIC/Shahak,10.3,1392.0,386.66666666666663,864.948432,751.620144,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 87}"
f_1,F-1,10.3,1314.0,365.0,816.481494,709.503498,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 88}"
jaguar_gr_1a,Jaguar GR.1A,10.3,1273.0,353.6111111111111,791.0055274160001,687.365261,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 89}"
f_8e,F-8E,10.3,1230.0,341.6666666666667,764.28633,664.14711,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 90}"
q_5a,Q-5A,10.3,1224.0,340.0,760.558104,660.907368,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 91}"
super_etenard_ivm,Super Etenard IVM,10.3,1218.0,338.3333333333333,756.829878,657.667626,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 92}"
a_7e,A-7E,10.3,1117.0,310.27777777777777,694.071407,603.131969,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 93}"
f_104j,F-104J,10.0,1448.0,402.22222222222223,899.745208,781.857736,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 94}"
mirage_5f,Mirage 5F,10.0,1413.0,392.5,877.997223,762.959241,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 95}"
mig_21s,MiG-21S,10.0,1361.0,378.05555555555554,845.685931,734.881477,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 96}"
mig_21pfm,MiG-21PFM,10.0,1300.0,361.1111111111111,807.7823,701.9441,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 97}"
jaguar_gr_1,Jaguar GR.1,10.0,1265.0,351.38888888888886,786.03455788,683.045605,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 98}"
su_7bkl,Su-7BKL,10.0,1260.0,350.0,782.92746,680.34582,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 99}"
f_8efn,F-8E(FN),10.0,1230.0,341.6666666666667,764.28633,664.14711,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 100}"
f8u_2_30_min,F8U-2 (30 min),10.0,1218.0,338.3333333333333,756.829878,657.667626,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 101}"
f_104a,F-104A,9.7,1450.0,402.77777777777777,900.98795,782.9376500000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 102}"
f_104c,F-104C,9.7,1440.0,400.0,894.77424,777.53808,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 103}"
mig_23bn,MiG-23BN,9.7,1425.0,395.8333333333333,885.453675,769.438725,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 104}"
lightning_f_6,Lightning F.6,9.7,1361.0,378.05555555555554,845.686192312,734.881477,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 105}"
j_7_ii,J-7 II,9.7,1323.0,367.5,822.073833,714.363111,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 106}"
t_2,T-2,9.7,1314.0,365.0,816.481494,709.503498,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 107}"
mig_21f_13,MiG-21F-13,9.7,1260.0,350.0,782.92746,680.34582,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 108}"
su_7b,Su-7B,9.7,1260.0,350.0,782.92746,680.34582,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 109}"
f_100a,F-100A,9.7,1229.0,341.38888888888886,763.664959,663.607153,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 110}"
f_100d,F-100D,9.7,1220.0,338.88888888888886,758.07262,658.7475400000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 111}"
f_100f,F-100F,9.7,1217.0,338.05555555555554,756.208507,657.127669,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 112}"
mig_19s,MiG-19S,9.7,1208.0,335.55555555555554,750.616168,652.268056,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 113}"
mig_19pt_j_6a,MiG-19PT / J-6A,9.7,1205.0,334.72222222222223,748.752055,650.648185,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 114}"
hunter_f_6,Hunter F.6,9.7,1152.0,320.0,715.819613184,622.030464,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 115}"
hunter_f_58,Hunter F.58,9.7,1152.0,320.0,715.819392,622.030464,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 116}"
av_8a_c,AV-8A/C,9.7,1138.0,316.1111111111111,707.120198,614.4710660000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 117}"
j32b,J32B,9.7,1137.0,315.8333333333333,706.498827,613.931109,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 118}"
harrier_gr_1_3,Harrier GR.1/3,9.7,1135.0,315.27777777777777,705.25630292,612.8511950000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 119}"
g_91_ys,G.91 YS,9.7,1124.0,312.22222222222223,698.421004,606.9116680000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 120}"
ayita_4n,Ayit(A-4N),9.7,1104.0,306.6666666666667,685.993584,596.112528,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 121}"
yak_38m,Yak-38M,9.3,1213.0,336.94444444444446,753.723023,654.967841,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 122}"
q_5_early,Q-5 Early,9.3,1210.0,336.1111111111111,751.85891,653.34797,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 123}"
yak_38,Yak-38,9.3,1208.0,335.55555555555554,750.616168,652.268056,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 124}"
buccanneer_s_2_no_bombs,Buccanneer S.2 (no bombs),9.3,1160.0,322.22222222222223,720.79058272,626.3501200000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 125}"
f3h_2,F3H-2,9.3,1155.0,320.8333333333333,717.683505,623.650335,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 126}"
f4d_1,F4D-1,9.3,1154.0,320.55555555555554,717.062134,623.110378,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 127}"
shenyang_f_5,Shenyang F-5,9.3,1149.0,319.1666666666667,713.955279,620.4105930000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 128}"
harrier_gr_1_3_100,Harrier GR.1/3 (100%),9.3,1135.0,315.27777777777777,705.25630292,612.8511950000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 129}"
yak_28b_no_bombs,Yak-28B (no bombs),9.3,1124.0,312.22222222222223,698.421004,606.9116680000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 130}"
g_91_y,G.91 Y,9.3,1124.0,312.22222222222223,698.421004,606.9116680000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 131}"
cl_13b_mk_6,CL-13B Mk.6,9.3,1122.0,311.6666666666667,697.178262,605.831754,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 132}"
j34,J34,9.3,1119.0,310.8333333333333,695.314149,604.2118830000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 133}"
etendard_ivm,Etendard IVM,9.3,1118.0,310.55555555555554,694.692778,603.671926,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 134}"
f_86k,F-86K,9.3,1111.0,308.6111111111111,690.343181,599.892227,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 135}"
f_86f_40,F-86F-40,9.3,1106.0,307.22222222222223,687.236326,597.192442,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 136}"
a_4e_early,A-4E Early,9.3,1083.0,300.8333333333333,672.944793,584.7734310000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 137}"
f11f_1,F11F-1,9.0,1211.0,336.38888888888886,752.480281,653.887927,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 138}"
hunter_f_6,Hunter F.6,9.0,1152.0,320.0,715.819613184,622.030464,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 139}"
mig_17f_lim_5p,MiG-17F / Lim-5P,9.0,1149.0,319.1666666666667,713.955279,620.4105930000001,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 140}"
mig_17_j_4_mig_17as,MiG-17 / J-4 / MiG-17AS,9.0,1125.0,312.5,699.042375,607.451625,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 141}"
ariete,Ariete,9.0,1123.0,311.94444444444446,697.799633,606.371711,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 142}"
buccaneer_s_1,Buccaneer S.1,9.0,1120.0,311.1111111111111,695.93573504,604.75184,"{'file': 'WarThunder_FactChecker1.xlsx', 'sheet': 'Sea level speed & Map Data', 'row': 143}"
